130,22
129,23
130,22
136,17
139,15
141,14
142,13
144,11
149,8
153,5
158,1
163,-2
166,-4
169,-6
171,-8
173,-9
171,-8
171,-8
170,-7
163,-2
159,0
163,-2
165,-3
168,-6
174,-10
184,-18
193,-24
197,-27
200,-30
201,-30
200,-29
196,-26
192,-23
187,-20
188,-20
195,-26
204,-32
207,-35
200,-29
198,-28
196,-26
191,-23
189,-21
191,-23
192,-23
192,-23
187,-20
179,-14
169,-6
169,-6
168,-5
167,-5
161,0
162,-1
153,5
144,12
143,12
132,21
123,27
108,39
102,43
100,45
98,46
96,48
97,47
102,43
98,46
95,48
91,51
90,52
86,55
95,48
104,41
103,42
96,47
90,52
88,53
100,44
103,42
108,38
115,33
117,32
121,29
116,32
108,38
104,41
98,46
100,44
117,32
129,23
133,20
126,25
116,32
113,35
109,38
108,38
107,39
104,41
103,42
103,42
105,41
105,41
99,45
96,47
92,50
96,47
95,48
91,51
87,54
88,53
90,52
100,44
108,38
109,38
109,38
107,39
100,44
90,52
83,57
79,60
76,62
78,61
76,62
74,64
75,63
80,59
81,59
80,59
83,57
85,56
86,55
91,51
92,50
88,53
81,59
78,61
78,61
87,54
100,44
109,38
115,33
113,35
105,41
99,45
96,47
98,46
96,47
99,45
106,40
115,33
128,23
134,19
135,18
134,19
132,20
135,18
136,17
142,13
148,8
152,5
159,0
165,-3
174,-10
185,-18
194,-25
200,-30
200,-30
202,-31
204,-33
207,-35
206,-34
203,-32
201,-30
200,-30
198,-28
199,-29
198,-28
194,-25
188,-21
180,-15
177,-12
177,-12
181,-15
188,-21
194,-25
199,-29
209,-36
209,-36
202,-31
192,-24
183,-17
177,-12
177,-12
182,-16
189,-21
193,-24
195,-26
197,-27
204,-33
205,-33
201,-30
199,-29
193,-24
192,-24
194,-25
196,-27
198,-28
200,-30
199,-29
199,-29
200,-30
205,-33
201,-30
196,-27
192,-24
194,-25
200,-30
207,-35
212,-39
208,-36
209,-36
211,-38
213,-39
213,-39
213,-39
213,-39
221,-45
228,-51
232,-54
232,-54
217,-42
201,-30
198,-28
203,-32
212,-39
215,-41
212,-39
209,-36
205,-33
207,-35
204,-33
200,-30
196,-27
196,-27
200,-30
201,-30
199,-29
194,-25
186,-19
182,-16
179,-14
182,-16
185,-18
186,-19
181,-15
173,-9
166,-4
162,-1
160,0
159,0
158,1
159,0
158,1
154,4
155,3
159,0
161,0
162,-1
163,-2
168,-6
170,-7
169,-6
169,-6
166,-4
159,0
150,7
146,10
144,11
143,12
147,9
151,6
152,5
149,8
148,8
148,8
148,8
147,9
